cell_id,lat_center,lon_center,count
392,33.25,-87.25,212
393,33.25,-86.75,385
394,33.25,-86.25,140
395,33.25,-85.75,136
396,33.25,-85.25,294
397,33.25,-84.75,783
398,33.25,-84.25,1166
399,33.25,-83.75,850
400,33.25,-83.25,881
401,33.25,-82.75,214
402,33.25,-82.25,686
403,33.25,-81.75,307
404,33.25,-81.25,284
405,33.25,-80.75,333
406,33.25,-80.25,458
407,33.25,-79.75,292
408,33.25,-79.25,594
409,33.75,-118.25,2745
410,33.75,-117.75,5156
411,33.75,-117.25,1316
412,33.75,-116.75,477
413,33.75,-116.25,274
414,33.75,-115.75,166
415,33.75,-115.25,246
416,33.75,-114.75,251
417,33.75,-114.25,464
418,33.75,-113.75,431
419,33.75,-113.25,362
420,33.75,-112.75,152
421,33.75,-112.25,4112
422,33.75,-111.75,1485
423,33.75,-111.25,350
424,33.75,-110.75,140
425,33.75,-110.25,74
426,33.75,-109.75,20
427,33.75,-109.25,218
428,33.75,-107.25,64
429,33.75,-104.75,58
430,33.75,-101.75,136
431,33.75,-99.25,42
432,33.75,-97.25,306
433,33.75,-96.75,269
434,33.75,-96.25,207
435,33.75,-93.75,199
436,33.75,-93.25,130
437,33.75,-91.75,121
438,33.75,-89.25,20
439,33.75,-88.75,162
440,33.75,-88.25,106
441,33.75,-87.75,208
442,33.75,-87.25,354
443,33.75,-86.75,338
444,33.75,-86.25,146
445,33.75,-85.75,440
446,33.75,-85.25,859
447,33.75,-84.75,2062
448,33.75,-84.25,3996
449,33.75,-83.75,1152
450,33.75,-83.25,1230
451,33.75,-82.75,209
452,33.75,-82.25,529
453,33.75,-81.75,715
454,33.75,-81.25,466
455,33.75,-80.75,406
456,33.75,-80.25,547
457,33.75,-79.75,78
458,33.75,-79.25,602
459,33.75,-78.75,1160
460,33.75,-78.25,203
461,34.25,-120.25,25
462,34.25,-119.75,526
463,34.25,-119.25,593
464,34.25,-118.75,2442
465,34.25,-118.25,5050
466,34.25,-117.75,1568
467,34.25,-117.25,854
468,34.25,-116.75,330
469,34.25,-116.25,222
470,34.25,-114.25,345
471,34.25,-113.25,387
472,34.25,-112.75,470
473,34.25,-112.25,440
474,34.25,-111.75,127
475,34.25,-111.25,377
476,34.25,-110.75,197
477,34.25,-110.25,497
478,34.25,-109.75,407
479,34.25,-109.25,374
480,34.25,-108.25,60
481,34.25,-106.75,40
482,34.25,-105.75,36
483,34.25,-104.25,45
484,34.25,-103.25,1065
485,34.25,-101.75,39
486,34.25,-97.75,56
487,34.25,-97.25,1102
488,34.25,-96.75,1010
489,34.25,-96.25,932
490,34.25,-95.75,49
491,34.25,-93.25,528
492,34.25,-92.75,91
493,34.25,-92.25,52
494,34.25,-91.75,40
495,34.25,-89.75,49
496,34.25,-89.25,67
497,34.25,-88.75,454
498,34.25,-88.25,164
499,34.25,-87.75,135
500,34.25,-87.25,140
501,34.25,-86.75,332
502,34.25,-86.25,146
503,34.25,-85.75,47
504,34.25,-85.25,434
505,34.25,-84.75,2489
506,34.25,-84.25,4010
507,34.25,-83.75,851
508,34.25,-83.25,524
509,34.25,-82.75,361
510,34.25,-82.25,591
511,34.25,-81.75,531
512,34.25,-81.25,610
513,34.25,-80.75,297
514,34.25,-80.25,234
515,34.25,-79.75,196
516,34.25,-79.25,57
517,34.25,-78.75,367
518,34.25,-78.25,229
519,34.25,-77.75,430
520,34.75,-120.75,27
521,34.75,-120.25,467
522,34.75,-119.75,101
523,34.75,-119.25,334
524,34.75,-118.75,461
525,34.75,-118.25,1824
526,34.75,-117.75,750
527,34.75,-117.25,173
528,34.75,-116.75,162
529,34.75,-116.25,91
530,34.75,-115.75,28
531,34.75,-115.25,146
532,34.75,-114.75,105
533,34.75,-114.25,251
534,34.75,-113.75,266
535,34.75,-113.25,149
536,34.75,-112.75,28
537,34.75,-112.25,678
538,34.75,-111.75,1023
539,34.75,-111.25,152
540,34.75,-110.75,196
541,34.75,-110.25,619
542,34.75,-109.75,328
543,34.75,-109.25,351
544,34.75,-108.25,26
545,34.75,-107.75,46
546,34.75,-107.25,22
547,34.75,-106.75,138
548,34.75,-105.25,102
549,34.75,-104.75,54
550,34.75,-103.75,51
551,34.75,-103.25,85
552,34.75,-101.75,61
553,34.75,-100.25,29
554,34.75,-97.75,99
555,34.75,-97.25,738
556,34.75,-96.75,1320
557,34.75,-96.25,208
558,34.75,-95.75,213
559,34.75,-95.25,96
560,34.75,-94.25,139
561,34.75,-93.75,198
562,34.75,-93.25,179
563,34.75,-92.25,124
564,34.75,-90.25,42
565,34.75,-89.75,363
566,34.75,-89.25,284
567,34.75,-88.75,183
568,34.75,-88.25,119
569,34.75,-87.75,255
570,34.75,-87.25,257
571,34.75,-86.75,526
572,34.75,-86.25,101
573,34.75,-85.75,89
574,34.75,-85.25,743
575,34.75,-84.75,880
576,34.75,-84.25,1634
577,34.75,-83.75,857
578,34.75,-83.25,706
579,34.75,-82.75,739
580,34.75,-82.25,2635
581,34.75,-81.75,551
582,34.75,-81.25,141
583,34.75,-80.75,38
584,34.75,-80.25,34
585,34.75,-79.75,231
586,34.75,-79.25,310
587,34.75,-78.75,715
588,34.75,-78.25,156
589,34.75,-77.75,535
590,34.75,-77.25,400
591,34.75,-76.75,205
592,35.25,-120.75,1109
593,35.25,-120.25,65
594,35.25,-119.75,400
595,35.25,-119.25,5128
596,35.25,-118.75,2091
597,35.25,-118.25,563
598,35.25,-117.75,419
599,35.25,-116.25,173
600,35.25,-115.75,108
601,35.25,-115.25,50
602,35.25,-114.75,120
603,35.25,-114.25,1354
604,35.25,-113.75,748
605,35.25,-113.25,265
606,35.25,-112.75,178
607,35.25,-112.25,411
608,35.25,-111.75,889
609,35.25,-111.25,139
610,35.25,-110.75,312
611,35.25,-110.25,269
612,35.25,-109.75,67
613,35.25,-109.25,251
614,35.25,-108.75,104
615,35.25,-108.25,61
616,35.25,-107.75,199
617,35.25,-107.25,27
618,35.25,-106.75,510
619,35.25,-106.25,110
620,35.25,-105.75,195
621,35.25,-105.25,45
622,35.25,-104.25,106
623,35.25,-103.75,95
624,35.25,-102.75,22
625,35.25,-102.25,44
626,35.25,-101.75,163
627,35.25,-101.25,108
628,35.25,-100.25,35
629,35.25,-99.75,63
630,35.25,-99.25,39
631,35.25,-97.75,276
632,35.25,-97.25,970
633,35.25,-96.75,411
634,35.25,-96.25,67
635,35.25,-95.75,397
